File Name,Total Variables,Problem Type,Best Candidate,Final Score,Result,Time Taken,Max Score Improvement
instance_01.mps,5664,PB,0,2.94046e-05,0,0.356636,0.397779
instance_02.mps,146071,MB,0,6.63281e-07,1,7.78477,2.03002
instance_03.mps,2351,MI,0,2.14159e-05,0,1.5793,373.964
instance_04.mps,19061,MI,0,0.000489269,0,8.77212,22515
instance_05.mps,21451,MI,0,0.0108716,0,5.87798,8568.93
instance_06.mps,122810,PB,0,0.000243305,0,3.46052,4.37538
instance_07.mps,92552,PI,0,0,1,1.74616,4.43859
instance_08.mps,25897,PI,0,7.09309e-06,0,0.652037,8.30664e-05
instance_09.mps,466,MB,0,1.01259e-05,0,2.30822,0
instance_10.mps,210,MB,0,1.3009e-05,0,0.292945,0
instance_11.mps,51078,PB,0,5.3914e-09,1,0.557296,1.83845e-06
instance_12.mps,14740,PI,0,2.95719e-08,1,0.419495,0
instance_13.mps,1369500,PI,0,3.03657e-05,0,3.25755,0
instance_14.mps,22970,MI,0,4.0038e-06,0,7.99403,817.484
instance_15.mps,22945,MI,0,0.00255462,0,4.17717,802.929
instance_16.mps,57520,MB,0,0,1,0.864825,6.88932e-08
instance_17.mps,481390,MB,0,6.59921e-10,1,6.39815,0
instance_18.mps,5070,MB,0,0,1,0.292526,2.46535e-07
instance_19.mps,3004,MI,0,4.89156e-06,0,0.394085,0.0172014
instance_20.mps,11564,MI,0,3.85568e-05,0,1.82362,0.00440572
instance_21.mps,7078,MI,0,2.09477e-05,0,0.653784,0.0680938
instance_22.mps,2370,MB,0,0,1,0.313145,0
instance_23.mps,1360,MB,0,0,1,0.362903,0
instance_24.mps,3560,MB,0,0,1,0.385649,0
instance_25.mps,343,PB,0,0,1,0.278507,0
instance_26.mps,3125,PB,0,0,1,0.30005,0
instance_27.mps,2401,PB,0,0,1,0.33966,0
instance_28.mps,20500,MB,0,2.77103e-13,1,3.6754,6.02351e-09
instance_29.mps,81000,MB,0,7.38902e-12,1,14.9051,1.60145e-08
instance_30.mps,322000,MB,0,1.65184e-12,1,60.5609,2.64818e-10
instance_31.mps,12063,MB,0,0.0434008,0,1.94011,2.04651
instance_32.mps,23728,MB,0,0.0164873,0,5.34405,0.952817
instance_33.mps,162005,MB,0,140.336,0,-,-
instance_34.mps,2534,PB,0,7.73039e-07,1,0.438812,0
instance_35.mps,4266,PB,0,1.73609e-06,0,0.404639,0
instance_36.mps,8375,PB,0,3.42486e-06,0,0.396211,0
instance_37.mps,936,MI,0,1.18703e-09,1,0.284288,75.5427
instance_38.mps,7104,MI,0,5.15661e-09,1,0.64606,840.613
instance_39.mps,114148,PB,0,7.96048e-08,1,1.25506,0
instance_40.mps,176810,PB,0,1.07971e-07,1,1.4118,0
instance_41.mps,989858,PB,0,2.32627e-06,0,15.5378,0
instance_42.mps,142635,MB,0,0.0691787,0,31.5515,9347.65
instance_43.mps,196354,MB,0,0.379428,0,36.4574,9297.62
instance_44.mps,547274,MI,0,0.509223,0,28.9876,10353.5
instance_45.mps,1292,PB,0,6.7976e-07,1,0.314007,0.0314614
instance_46.mps,1277,MB,0,0.000107051,0,0.302801,0.167784
instance_47.mps,1206,MB,0,3.88847e-13,1,0.703254,97.7823
instance_48.mps,828002,PI,0,0.000956336,0,4.63747,0.108839
instance_49.mps,1457386,PI,0,0.000108431,0,18.5209,1096.5
instance_50.mps,1372839,PI,0,0.0360831,0,10.7777,0.974447
